rank,path,size_bytes,size_mib,file_type,git_status,category,sha256,referenced_by
126,out/object_anchor_pilot/regression_baseline/overlays/tissue_F_001.jpg,2753846,2.626,image,ignored,ARCHIVE_RND,fa2fa14c24249a198e95d5e0dc0bf16fa0efe63dd80aabfae03adcee97dd6d4a,
127,out/object_anchor_full99/legacy_regression/pilot/overlays/tissue_F_001.jpg,2745810,2.619,image,ignored,ARCHIVE_RND,b4261d7f9791dede1442ec4ad37f683c291b1b8e09f0ef0ef3da4f7d2c1c9383,
128,out/object_anchor_pilot/regression_pilot/overlays/tissue_F_001.jpg,2745456,2.618,image,ignored,ARCHIVE_RND,90f6aafd9e3f93d078fe08e190476b39456228da5801132ff911e52032b1d2e4,
129,out/tissue_box_front_only_val_predictions_ids/tissue_F_001.jpg,2710461,2.585,image,ignored,SAFE_DELETE_CANDIDATE,18930ef50c3eb0b041faca5c5d868eb96534c431c1181d8b84bec17b0247f614,
130,.venv/Lib/site-packages/torch/lib/XNNPACK.lib,2703490,2.578,lib,ignored,SAFE_DELETE_CANDIDATE,0ce6a46c4748b8667f05042f267e7829038e2381c7995879b71d33e403a26af2,
131,.venv/Lib/site-packages/cv2/data/haarcascade_frontalface_alt_tree.xml,2689040,2.564,xml,ignored,SAFE_DELETE_CANDIDATE,0e5ee47ecc13269d54dd7a55f8b53752167c52587720877732388fb078a0480a,
132,out/tissue_box_front_only_val_predictions/tissue_F_001.jpg,2680347,2.556,image,ignored,SAFE_DELETE_CANDIDATE,8a5f197187beca6d92bac78214fb155149d2b90f2f57aed602a6735402294edb,
133,out/tissue_box_front_only_val_predictions_max1/tissue_F_001.jpg,2680347,2.556,image,ignored,SAFE_DELETE_CANDIDATE,8a5f197187beca6d92bac78214fb155149d2b90f2f57aed602a6735402294edb,
134,out/object_anchor_pilot/label_overlays/legacy_white_background__tissue_F_001.jpg,2676641,2.553,image,ignored,ARCHIVE_RND,43968f81c93efdd0023a94874338fab9bb162bbcbd798d735ca2ec800ad7dfc6,
135,.venv/Lib/site-packages/scipy/special/_ufuncs_cxx.cp312-win_amd64.pyd,2673664,2.55,pyd,ignored,SAFE_DELETE_CANDIDATE,ad42de0cab220447867a3a436f5991f3c7f295d9db8b25370c6d5ba27f9ec4c2,
136,out/tissue_box_init_sanitized/verification/tissue_box_left_verified.jpg,2667026,2.543,image,ignored,ARCHIVE_RND,c441042e88d6054fb5dd70f7fea8cc0068017f347cb2f205f1de6f5a4aea921f,
137,out/tissue_box_front_24_sanitized/verification/tissue_F_001_verified.jpg,2647767,2.525,image,ignored,ARCHIVE_RND,3b8d5f2079aaf42331680355b7b173f791c9b19f9ef36b3dd5f73f1b43ebe5b4,
138,.venv/Lib/site-packages/PIL/_imaging.cp312-win_amd64.pyd,2632704,2.511,pyd,ignored,SAFE_DELETE_CANDIDATE,c8c519ec72bf75b2945b4fc4afa854af2fca8b970a403134f9ddda3e164d85e9,
